id,name,image_url,user_id
442,Average White Band,https://i.scdn.co/image/ab6761610000e5ebf332acfaaae4e1c238b18a28,
443,Avicii,https://i.scdn.co/image/ab6761610000e5ebae07171f989fb39736674113,
444,Avril Lavigne,https://i.scdn.co/image/ab6761610000e5ebcea575e8c9519d4367984256,
445,B.B. King,https://i.scdn.co/image/809b501cb89a3f6557d5532d983875f4dea1877d,
446,B.o.B (featuring Hayley Williams),,
447,BABYMETAL,https://i.scdn.co/image/ab6761610000e5eb8bf2dcb4312416001228a30d,
448,BANNERS,https://i.scdn.co/image/ab6761610000e5eb8d3bcf6e02576325ec246d34,
449,BAP,https://i.scdn.co/image/ab6761610000e5ebacb6a1310cd73308c2af0c5b,
450,BB Brunes,https://i.scdn.co/image/ab6761610000e5eb6971278da3fc32512405258f,
451,BEGINNERS,https://i.scdn.co/image/ab6761610000e5eb042516d5fa2c00a4141f6f84,
452,BachmanâTurner Overdrive,,
453,Bad Company,https://i.scdn.co/image/65d37e5c4ee9ef8bfb76de6a17e7c05316199724,
454,Bad Omens,https://i.scdn.co/image/ab6761610000e5eb3dc0577ed61ec73b498a56ee,
455,Bad Religion,https://i.scdn.co/image/ab6761610000e5eb785d6af86b16c8747ff61e42,
456,Bad Suns,https://i.scdn.co/image/ab6761610000e5eb14bdca85282f9980069cc350,
457,Bad Wolves,https://i.scdn.co/image/ab6761610000e5eb620e9911e10064bcbf2d7481,
458,Band Of Horses,https://i.scdn.co/image/ab6761610000e5eb2cb57b092374b2f975ee9adc,
459,Bang Camaro,https://i.scdn.co/image/ab6761610000e5eb37e3b35a50084a7be73cc7b7,
460,Barely March,https://i.scdn.co/image/ab6761610000e5eb7e176c40634a6bb6350f0d32,
461,Barenaked Ladies,https://i.scdn.co/image/ab6761610000e5eb6f38e73a455b76c9e84d2e05,
462,Barns Courtney,https://i.scdn.co/image/ab6761610000e5eb4bbc056671282e390b4c6b46,
463,Bastille,https://i.scdn.co/image/ab6761610000e5ebfd9a45e98090b4f26d2bbdeb,
464,Bearstronaut,https://i.scdn.co/image/ab6761610000e5eb0acd8480665325b12eac16c7,
465,Beartooth,https://i.scdn.co/image/ab6761610000e5ebd2219c00e2fa1f2aaddcbf24,
466,Beastie Boys,https://i.scdn.co/image/705bcd56dc5dbf9ebc578a3ba8094e6d622862c2,
467,Beck,https://i.scdn.co/image/ab6761610000e5eb1b7aaeedafb29af4c513ebd3,
468,Behemoth,https://i.scdn.co/image/ab6761610000e5ebb0cf0bfbb3080adf39332397,
469,Belinda Carlisle,https://i.scdn.co/image/ab6761610000e5ebb080a753322b12aa4ee94e6d,
470,Belly,https://i.scdn.co/image/ab6761610000e5ebbff23b49045aa4099d7264ed,
471,Ben Harper and Relentless7,https://i.scdn.co/image/ab6761610000e5ebe52eb587043e72596e870f64,
472,Ben Quad,https://i.scdn.co/image/ab6761610000e5eb5a5ac3c25f12515fe1644ab4,
473,Benjamin Booker,https://i.scdn.co/image/ab6761610000e5eb0a41d0ad7f3d72ec77cb6128,
474,Bent Knee,https://i.scdn.co/image/ab6761610000e5eb2fedaa08f1a3d13cd96777d5,
475,Between the Buried and Me,https://i.scdn.co/image/ab6761610000e5ebaedba7a5799c454208611431,
476,Big & Rich,https://i.scdn.co/image/ab6761610000e5ebc8c403161c81d8f8c02c0506,
477,Big Country,https://i.scdn.co/image/ab6761610000e5ebe1677bb0b5e2afdec1ec4c39,
